Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,"MAP2K1,MAP2K2","1,1",AUC,189.73
2,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,200.60
3,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,209.63
4,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,200.54
5,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,213.63
6,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,203.60
7,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,166.56
8,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,201.96
