Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,"MAP2K1,MAP2K2","1,1",AUC,115.01
2,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,170.79
3,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,144.18
4,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,114.32
5,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,122.72
6,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,117.06
7,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,100.49
8,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,115.74
