Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,"MAP2K1,MAP2K2","1,1",AUC,165.59
2,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,218.26
3,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,210.90
4,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,188.63
5,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,207.80
6,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,199.50
7,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,164.10
8,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,173.48
