Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,"MAP2K1,MAP2K2","1,1",AUC,132.00
2,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,133.33
3,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,154.07
4,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,166.06
5,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,114.82
6,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,118.43
7,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,121.21
8,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,128.99
