Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,CASP3,0.2490118577075099,0.0,0.2490118577075099,0.2490118577075099
2,CASP3,0.32727272727272727,0.317699657,0.009573070272727247,0.009573070272727247
3,CASP3,0.272,0.270094786,0.001905214000000044,0.001905214000000044
4,CASP3,0.24858757062146894,0.607302371,-0.358714800378531,0.358714800378531
5,CASP3,0.3684210526315789,0.159653529,0.20876752363157894,0.20876752363157894
6,CASP3,0.2784090909090909,0.266385859,0.012023231909090881,0.012023231909090881
7,CASP3,0.3717948717948718,0.269612483,0.10218238879487179,0.10218238879487179
8,CASP3,0.2392638036809816,0.240832496,-0.0015686923190184054,0.0015686923190184054
9,CASP3,0.20606060606060606,0.634766766,-0.428706159939394,0.428706159939394
10,CASP3,0.2524271844660194,0.584932972,-0.33250578753398063,0.33250578753398063
11,CASP3,0.24880382775119617,0.182102409,0.06670141875119617,0.06670141875119617
12,CASP3,0.3684210526315789,0.370602546,-0.0021814933684210502,0.0021814933684210502
13,CASP3,0.2784090909090909,0.565095879,-0.28668678809090914,0.28668678809090914
14,CASP3,0.3717948717948718,0.705837126,-0.33404225420512823,0.33404225420512823
15,CASP3,0.3702127659574468,0.44655654,-0.07634377404255321,0.07634377404255321
16,CASP3,0.24880382775119617,0.520769319,-0.27196549124880387,0.27196549124880387
17,CASP3,0.4029126213592233,0.400900604,0.002012017359223295,0.002012017359223295
18,CASP3,0.2222222222222222,0.639879612,-0.4176573897777778,0.4176573897777778
19,CASP3,0.34977578475336324,0.489268716,-0.13949293124663675,0.13949293124663675
20,CASP3,0.31196581196581197,0.168159898,0.14380591396581197,0.14380591396581197
21,CASP3,0.14838709677419354,0.492776318,-0.34438922122580645,0.34438922122580645
22,CASP3,0.31196581196581197,0.611052995,-0.299087183034188,0.299087183034188
23,CASP3,0.36939313984168864,0.369222631,0.00017050884168862135,0.00017050884168862135
24,CASP3,0.2,0.710918524,-0.510918524,0.510918524
25,CASP3,0.37344398340248963,0.576228047,-0.20278406359751033,0.20278406359751033
26,CASP3,0.41810344827586204,0.256327469,0.16177597927586207,0.16177597927586207
27,CASP3,0.26666666666666666,0.516109568,-0.2494429013333333,0.2494429013333333
28,CASP3,0.41810344827586204,0.561880348,-0.14377689972413793,0.14377689972413793
29,CASP3,0.19,0.485318014,-0.295318014,0.295318014
30,CASP3,0.24761904761904763,0.247656767,-3.771938095237237e-05,3.771938095237237e-05
31,CASP3,0.32727272727272727,0.481211852,-0.15393912472727272,0.15393912472727272
32,CASP3,0.24087591240875914,0.534992802,-0.2941168895912408,0.2941168895912408
33,CASP3,0.3131868131868132,0.317507678,-0.004320864813186831,0.004320864813186831
34,CASP3,0.24539877300613497,0.431260444,-0.18586167099386505,0.18586167099386505
35,CASP3,0.3131868131868132,0.579572055,-0.2663852418131868,0.2663852418131868
36,CASP3,0.4029126213592233,0.532915894,-0.13000327264077666,0.13000327264077666
37,CASP3,0.3562005277044855,0.580771285,-0.22457075729551446,0.22457075729551446
